 99, 99, 99, 99, 99, 99, 91, 84, 76, 69, 61, 53, 46, 38, 30, 23, 15, 08, 00, 00, 00, 00, 00, 00
 99, 98, 97, 96, 95, 92, 87, 81, 74, 67, 60, 53, 46, 39, 32, 25, 18, 12, 07, 04, 03, 02, 01, 00
 99, 97, 96, 94, 92, 88, 84, 78, 72, 66, 59, 53, 46, 39, 33, 26, 20, 15, 10, 07, 05, 03, 01, 00
 99, 97, 95, 92, 89, 86, 81, 76, 71, 65, 59, 52, 46, 40, 34, 28, 22, 17, 13, 09, 06, 04, 02, 00
 99, 96, 94, 91, 88, 84, 80, 75, 69, 64, 58, 52, 46, 40, 34, 29, 24, 19, 14, 11, 08, 05, 02, 00
 99, 96, 93, 90, 87, 83, 78, 74, 69, 63, 58, 52, 46, 40, 35, 30, 25, 20, 16, 12, 08, 05, 03, 00
 99, 96, 93, 89, 86, 82, 78, 73, 68, 63, 57, 52, 46, 41, 35, 30, 25, 21, 16, 12, 09, 06, 03, 00
 99, 96, 93, 89, 86, 82, 77, 73, 68, 63, 57, 52, 46, 41, 35, 30, 25, 21, 17, 13, 09, 06, 03, 00
 99, 96, 93, 89, 86, 82, 77, 73, 68, 63, 57, 52, 46, 41, 35, 30, 25, 21, 17, 13, 09, 06, 03, 00
 99, 96, 93, 89, 86, 82, 78, 73, 68, 63, 57, 52, 46, 41, 35, 30, 25, 21, 16, 12, 09, 06, 03, 00
 99, 96, 93, 90, 87, 83, 78, 74, 69, 63, 58, 52, 46, 40, 35, 30, 25, 20, 16, 12, 08, 05, 03, 00
 99, 96, 94, 91, 88, 84, 80, 75, 69, 64, 58, 52, 46, 40, 34, 29, 24, 19, 15, 11, 08, 05, 02, 00
 99, 97, 95, 92, 89, 86, 81, 76, 71, 65, 59, 52, 46, 40, 34, 28, 22, 17, 13, 09, 06, 04, 02, 00
 99, 97, 96, 94, 92, 88, 84, 78, 72, 66, 59, 53, 46, 39, 33, 26, 20, 15, 10, 07, 05, 03, 01, 00
 99, 98, 97, 96, 95, 92, 87, 81, 74, 67, 60, 53, 46, 39, 32, 25, 18, 12, 07, 04, 03, 02, 01, 00
